;Nombre;NIF;Localidad;País;Inmovilizado_Inmaterial;Fecha_Constitucion;Last_year;ROA23;Total_Activo;Ingresos_Explotacion;Empleados;Ratio_Liquidez;Ratio_Solvencia;CNAE;Ratio_Endeudamiento;EBITDA;Resultado_Ejercicio
1897.;INFORMATICA Y TRABAJOS DE PROGRAMACION SL.;B01930361;OVIEDO;ESPANA;n.d.;15/09/2020;31/12/2023;46,39;109;167;1;265,58;2,66;6209;0;51;39
1898.;HINFORCOM TECNOLOGIES SL.;B88595665;MADRID;ESPANA;0;13/02/2020;31/12/2024;50,57;74;191;1;198,78;1,99;6209;19,03;39;29
1899.;BERRIZAN2020 SL.;B01825553;ZARAUTZ;ESPANA;n.d.;06/08/2020;31/12/2023;-22,63;28;167;2;90,86;0,91;6311;61,55;-6;-6
1900.;AXISNET TELECOMUNICACIONES SOCIEDAD LIMITADA.;B55407878;VALENCIA;ESPANA;n.d.;17/05/2024;31/12/2024;n.d.;n.d.;n.d.;1;n.d.;n.d.;6110;n.d.;n.d.;n.d.
1901.;DATAWARECLOUD SOCIEDAD LIMITADA.;B40279341;PALAZUELOS DE ERESMA;ESPANA;n.d.;28/11/2019;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
1902.;APLICACIONES HUMANAS CON INTELIGENCIA ARTIFICIAL SL.;B71412696;PAMPLONA/IRUÑA;ESPANA;336;14/01/2021;31/12/2023;-10,53;735;166;5;1.212,49;12,12;6209;20,43;-59;-78
1903.;TRICONTES SPAIN SL.;B16642480;PALMA;ESPANA;n.d.;27/08/2019;31/12/2020;n.d.;n.d.;n.d.;3;n.d.;n.d.;6190;n.d.;n.d.;n.d.
1904.;TRANSTOP S.L.;B16766149;CASTELLAR DEL VALLES;ESPANA;n.d.;29/07/2021;31/12/2024;11,91;51;197;1;782,54;7,83;6209;0;6;5
1905.;MASTER COMPUTER GROUP S.L.;B42729020;CORNELLA DE LLOBREGAT;ESPANA;n.d.;11/01/2021;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
1906.;XTENDOO SOFTWARE SL.;B16890287;LA PALMA DEL CONDADO;ESPANA;2;15/09/2021;31/12/2023;19,12;187;166;2;127,26;1,27;5829;45,49;38;26
1907.;WIN2WIN SOFTWARE S.L.;B67414565;GAVA;ESPANA;n.d.;04/04/2019;31/12/2023;38,01;53;166;1;249,69;2,5;6202;49,91;20;8
1908.;ONYZE DIGITAL ASSETS SL.;B88389770;MADRID;ESPANA;376;06/05/2019;31/12/2024;-15,55;1.194;1.101;14;28,18;0,28;6209;62,38;-166;-651
1909.;HOT TUNA CONSULTING SL.;B72373244;BARBATE;ESPANA;1;07/05/2019;31/12/2024;38,29;166;259;1;178,22;1,78;6202;48,22;75;44
1910.;UBIMEL MITECO S.L.;B56807589;BARCELONA;ESPANA;n.d.;14/12/2023;31/12/2024;n.d.;n.d.;n.d.;7;n.d.;n.d.;6202;n.d.;n.d.;n.d.
1911.;WAITRY SOLUCIONES SL.;B88539648;MADRID;ESPANA;n.d.;02/12/2019;31/12/2022;n.d.;n.d.;n.d.;4;n.d.;n.d.;6201;n.d.;n.d.;n.d.
1912.;ORIGINDATA IBERICA SL.;B88303938;MADRID;ESPANA;n.d.;04/02/2019;31/12/2023;14,94;52;165;4;254,49;2,54;5821;23,99;9;6
1913.;TECHNISYS BUSINESS DEVELOPMENT SPAIN SL.;B42785436;MADRID;ESPANA;n.d.;22/01/2021;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
1914.;LLEVANTIC SOCIEDAD LIMITADA.;B40572265;VALENCIA;ESPANA;1;20/03/2019;31/12/2024;0,27;52;136;2;404,14;4,04;6201;0;1;0
1915.;PICANARIAS I.T., SOCIEDAD LIMITADA.;B72639412;LAS PALMAS DE GRAN CANARIA;ESPANA;n.d.;19/10/2022;31/12/2024;1,32;23;147;4;87,55;0,88;6203;2,43;2;0
1916.;ZEPO INTELLIGENCE, SOCIEDAD LIMITADA.;B19740802;A CORUÑA;ESPANA;n.d.;11/06/2024;31/12/2024;n.d.;n.d.;n.d.;5;n.d.;n.d.;6201;n.d.;n.d.;n.d.
1917.;DOSYS PROYECTOS TECNOLOGICOS SL.;B10741577;DONOSTIA/SAN SEBASTIAN;ESPANA;n.d.;13/05/2022;31/12/2023;9,06;71;164;2;102,05;1,02;6202;28,13;10;5
1918.;SERVINCO CONSULTORIA INFORMATICA SL.;B40626475;SAGUNT/SAGUNTO;ESPANA;n.d.;02/12/2019;31/12/2024;6,3;29;164;4;130,17;1,3;6209;3,08;2;1
1919.;ETDTESTERS SL.;B88641931;MADRID;ESPANA;n.d.;27/05/2020;31/12/2024;25,03;207;130;2;914,22;9,14;6209;1,51;58;41
1920.;PETRA CORPORATE GROUP SL.;B72845514;ARGANDA DEL REY;ESPANA;n.d.;01/12/2022;31/12/2024;-2,77;886;n.d.;1;167,04;1,67;6311;1,26;-20;-25
1921.;BAYESIAN ANALYTICA PARTNERS SL.;B67756197;VALENCIA;ESPANA;n.d.;11/11/2021;31/12/2022;n.d.;n.d.;n.d.;1;n.d.;n.d.;6202;n.d.;n.d.;n.d.
1922.;SAITI SALES SOCIEDAD LIMITADA.;B16790867;LLIRIA;ESPANA;n.d.;06/08/2021;31/12/2024;-18,48;30;33;1;73,56;0,74;6190;0;-6;-6
1923.;NIDUS LAB SL.;B44949436;MADRID;ESPANA;n.d.;30/03/2023;31/12/2023;83,11;177;164;5;356,91;3,57;6209;0,49;147;125
1924.;HOMERY DIGITAL S.L.;B42931006;BARCELONA;ESPANA;214;23/02/2021;31/12/2024;-22,93;651;198;5;1.174,60;11,75;6209;40,91;-84;-126
1925.;ECOMATICA SOLUCIONES INFORMATICAS SL.;B16941254;CARTAGENA;ESPANA;n.d.;28/09/2021;31/12/2023;1,1;149;163;4;102,39;1,02;6203;0;2;1
1926.;NOLIMIT WIMAX SL.;B02644664;ORIHUELA;ESPANA;n.d.;06/10/2020;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6190;n.d.;n.d.;n.d.
1927.;SOLUCIONES GIS GALICIA SL.;B42925297;VIVEIRO;ESPANA;6;23/02/2021;31/12/2024;4,08;122;158;3;135,23;1,35;6202;74,01;5;2
1928.;PRODUCTS & TRADE HUMITOS SOCIEDAD LIMITADA.;B42809319;VALENCINA DE LA CONCEPCION;ESPANA;n.d.;28/01/2021;31/12/2023;72,07;131;163;18;374,01;3,74;6190;0;94;73
1929.;SMART WIRED TECH DISTRIBUCIONES SL.;B16389256;MADRID;ESPANA;n.d.;13/05/2024;31/12/2024;n.d.;n.d.;n.d.;1;n.d.;n.d.;6110;n.d.;n.d.;n.d.
1930.;MEDIACION Y CONFLICTOS SL.;B10702082;MURCIA;ESPANA;n.d.;19/05/2022;31/12/2023;4,2;42;162;4;1.433,49;14,33;6399;54,32;2;1
1931.;AGENCIA WP MARKETING & WEB SL.;B42824292;TORRELODONES;ESPANA;2;01/02/2021;31/12/2024;4,23;29;153;1;119,57;1,2;6202;20,14;1;1
1932.;EOA BLOCKCHAIN LABS, SOCIEDAD LIMITADA.;B05354758;A CORUÑA;ESPANA;n.d.;13/04/2021;31/12/2024;-37,29;126;45;2;2.360,11;23,6;6201;0,02;-46;-36
1933.;HORUS ML SL.;B72620982;MADRID;ESPANA;n.d.;14/10/2022;31/12/2024;61,59;42;119;2;376,87;3,77;6202;0;26;22
1934.;FAV INNOVATION AND TECHNOLOGIES COOP.V;F01612845;VALENCIA;ESPANA;n.d.;17/07/2020;31/12/2022;n.d.;n.d.;n.d.;4;n.d.;n.d.;6209;n.d.;n.d.;n.d.
1935.;DIGICLOUDLEX SL.;B16608820;GOZON;ESPANA;n.d.;10/01/2019;31/12/2024;63,31;148;184;2;974,85;9,75;6202;0,2;99;72
1936.;KALMA DIGITAL SOCIEDAD LIMITADA.;B90433152;MAIRENA DEL ALJARAFE;ESPANA;n.d.;11/04/2019;31/12/2024;0,59;569;106;1;101,28;1,01;6110;4,22;4;3
1937.;BEMAN PROPERTIES, S.L.;B70607197;A CORUÑA;ESPANA;3;20/12/2019;31/12/2024;-16,43;109;n.d.;1;36,26;0,36;6202;108,66;-18;-16
1938.;ZIUR SNOP SOCIEDAD LIMITADA.;B42993782;BETERA;ESPANA;n.d.;04/03/2021;31/12/2024;68,76;88;150;2;592,12;5,92;6201;0,07;62;45
1939.;NULL POINTER EXCEPTION S.L.;B67533604;BARCELONA;ESPANA;n.d.;07/11/2019;31/12/2023;-3,72;9;160;2;138,65;1,39;6202;0;0;0
1940.;PAULSA 1821 S.L.;B04966321;BARBERA DEL VALLES;ESPANA;0;16/03/2021;31/12/2023;44,54;285;160;4;911,91;9,12;6201;0,08;137;95
1941.;POLPOO TECHNOLOGIES S.L.;B67355578;BARCELONA;ESPANA;n.d.;10/01/2019;31/12/2022;n.d.;n.d.;n.d.;3;n.d.;n.d.;6201;n.d.;n.d.;n.d.
1942.;SOLUCIONES INTERNET BURGOS SL.;B02847135;BURGOS;ESPANA;n.d.;25/11/2020;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
1943.;VU SECURITY AND FRAUD PREVENTION SL.;B88583059;MADRID;ESPANA;n.d.;16/01/2020;31/12/2023;-946,45;93;159;3;12,72;0,13;6201;1.196,50;-878;-958
1944.;TECNIKA UNIVERSAL SOLUTIONS SL.;B05359930;MURCIA;ESPANA;n.d.;14/04/2021;31/12/2023;-231,68;69;159;7;8,25;0,08;6110;81,12;-159;-124
1945.;GUFESA SOLUCIONES SOCIEDAD LIMITADA.;B90424458;PALOMARES DEL RIO;ESPANA;n.d.;22/02/2019;31/12/2023;25,58;235;159;4;1.136,98;11,37;6201;0;61;47
1946.;EMERGENTONETWORK, SOCIEDAD LIMITADA.;B76338664;LAS PALMAS DE GRAN CANARIA;ESPANA;19;08/02/2019;31/12/2023;44,19;63;159;2;783,82;7,84;6202;8,17;32;20
1947.;BOOKIPRO PMS S.L.;B67427559;BARCELONA;ESPANA;197;25/04/2019;31/12/2024;1,33;371;112;5;1.459,25;14,59;6203;32,32;75;16
1948.;TENDIOS TECHNOLOGIES S.L.;B44814226;BARCELONA;ESPANA;88;07/03/2023;31/12/2024;-22,35;145;18;7;285,62;2,86;6201;0;-32;-24
1949.;S.R.S. INDUSTRY WORKS & MANUFACTURING PROCESS AUTOMATION SOCIEDAD LIMITADA.;B16945149;PELIGROS;ESPANA;5;28/09/2021;31/12/2024;34,38;69;206;2;353,76;3,54;6209;0;31;18
1950.;GLOBAL PAY & DEVELOPERS SOCIEDAD LIMITADA.;B55346084;VILAMALLA;ESPANA;n.d.;04/04/2019;31/12/2024;2,13;446;159;3;113,42;1,13;6201;82,52;9;7
1951.;PL2 SOFTWARE TEAMS SL.;B72382419;EL PUERTO DE SANTA MARIA;ESPANA;n.d.;20/09/2019;31/12/2024;34,81;74;140;1;283,79;2,84;6201;0;26;20
1952.;OPENSLOT SL.;B71442032;PAMPLONA/IRUÑA;ESPANA;107;25/10/2021;31/12/2024;31,27;187;109;1;123,3;1,23;6202;59,19;68;47
1953.;MIRASOURCING SL.;B01994870;MADRID;ESPANA;n.d.;01/10/2020;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6201;n.d.;n.d.;n.d.
1954.;SOLUCIONES GRUPO ZAFIRO SOCIEDAD LIMITADA.;B44528412;ALQUERIES/ALQUERIAS NIÑO PERDIDO;ESPANA;n.d.;07/08/2019;31/12/2024;17,98;63;136;4;343,52;3,44;6201;0;13;9
1955.;PERIFAI VISION SOLUTIONS SL.;B10990869;MADRID;ESPANA;1.248;29/07/2022;31/12/2024;-42,4;1.790;132;4;81,74;0,82;6209;0;-478;-569
1956.;PREDICTHEON MEDICAL S.L.;B67513325;BARCELONA;ESPANA;101;04/10/2019;31/12/2023;-25,85;771;158;5;719,04;7,19;6202;27,24;-199;-164
1957.;SPACERETAIL PLATFORM SL.;B88399332;MADRID;ESPANA;n.d.;26/06/2019;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6209;n.d.;n.d.;n.d.
1958.;MOLIFER TECNOLOGICAS SOCIEDAD LIMITADA.;B02627412;ALBACETE;ESPANA;n.d.;20/02/2020;31/12/2024;2,38;172;150;2;186,63;1,87;6202;0,13;6;10
1959.;SKYDREAM STUDIOS VR SL.;B71476907;TUDELA;ESPANA;n.d.;08/03/2023;31/12/2024;-105,92;69;17;4;354,2;3,54;6201;116,83;-73;-75
1960.;VEI TECH RESOURCES S.L.;B01904754;BARCELONA;ESPANA;4;07/09/2020;31/12/2024;4,24;473;315;4;689,62;6,9;6201;74,33;20;15
1961.;PRESENCE XR SOLUTIONS SL.;B01920313;VALDES;ESPANA;223;11/09/2020;31/12/2023;3,16;349;158;4;421,76;4,22;6209;77,46;70;3
1962.;EASY PVF SOFTWARE SOCIEDAD LIMITADA.;B90455965;SEVILLA;ESPANA;n.d.;16/09/2019;31/12/2023;8,64;86;157;2;715,89;7,16;6201;0;7;6
1963.;INFORMATICA MELVIC SOCIEDAD DE RESPONSABILIDAD LIMITADA.;B01945591;AYORA;ESPANA;n.d.;01/10/2020;31/12/2024;18,54;117;209;1;155,69;1,56;6209;2,39;22;16
1964.;NAIROBI ESTUDIO SOCIEDAD LIMITADA.;B02626901;ALBACETE;ESPANA;n.d.;11/02/2020;31/12/2024;8,82;64;157;4;195,44;1,95;6209;35,03;10;3
1965.;SAFETY BEAT S.L.;B16760977;BARCELONA;ESPANA;7;27/07/2021;31/12/2024;41,74;73;63;4;199,69;2;6209;0;35;26
1966.;GUNDO HEALTH AND FOOD SOCIEDAD LIMITADA.;B16906497;BILBAO;ESPANA;130;08/09/2021;31/12/2024;-17,18;141;7;2;85,5;0,85;6201;8,92;-24;-25
1967.;SANGAKU FOR ALL S.L.;B02760056;BARCELONA;ESPANA;n.d.;04/11/2020;31/12/2024;68,45;15;47;2;306,58;3,07;6209;2,36;10;8
1968.;MUNDORED S.L.;B06762694;VALVERDE DE LLERENA;ESPANA;n.d.;11/03/2021;31/12/2021;n.d.;n.d.;n.d.;2;n.d.;n.d.;6209;n.d.;n.d.;n.d.
1969.;NIXAE DIGITAL MINDS SOCIEDAD LIMITADA.;B01838168;MISLATA;ESPANA;n.d.;11/08/2020;31/12/2023;13,28;79;157;1;430,77;4,31;6201;0;12;8
1970.;BOAT SECURITY SEGURIDAD NAUTICA SOCIEDAD LIMITADA.;B72543325;BERMEO;ESPANA;n.d.;26/09/2022;31/12/2024;76,11;49;138;1;95,59;0,96;6209;1,38;39;31
1971.;PAISANOSCREANDO SL.;B13678446;MADRID;ESPANA;n.d.;24/03/2023;31/12/2023;45,14;35;156;1;91,05;0,91;6203;19,57;16;14
1972.;ENDATEC SOLUCIONES SL.;B72498181;MADRID;ESPANA;n.d.;14/09/2022;31/12/2024;27,61;102;188;1;191,36;1,91;6202;0;28;22
1973.;AULADRUPAL SOCIEDAD LIMITADA.;B06971048;OROSO;ESPANA;n.d.;30/06/2021;31/12/2023;-9,99;98;156;1;69,78;0,7;6201;117,78;-10;-11
1974.;MOBILITY ASSISTANCE TECHNOLOGIES SL.;B88548250;MADRID;ESPANA;n.d.;11/12/2019;31/12/2021;n.d.;n.d.;n.d.;5;n.d.;n.d.;6209;n.d.;n.d.;n.d.
1975.;SIDEQUEST VR SPAIN SOCIEDAD LIMITADA.;B72646235;CHELLA;ESPANA;n.d.;20/10/2022;31/12/2023;-161,62;127;155;3;39,53;0,4;6209;0;-205;-205
1976.;SISTEMA ETERNS S.L.;B06756852;LA ALBUERA;ESPANA;n.d.;15/11/2019;31/12/2021;n.d.;n.d.;n.d.;1;n.d.;n.d.;6202;n.d.;n.d.;n.d.
1977.;ALMA DIGITAL CONSULTING SL.;B88364294;MADRID;ESPANA;n.d.;10/04/2019;31/12/2024;48,58;58;144;1;342,14;3,42;6209;0;28;21
1978.;CALIMA TECHNOLOGIES SL.;B88635255;MADRID;ESPANA;172;13/05/2020;31/12/2024;6,94;283;250;4;103,85;1,04;6202;29,95;57;13
1979.;AVERLO ESPAÑA SOCIEDAD LIMITADA.;B72476617;ZARAGOZA;ESPANA;3;08/09/2022;31/12/2023;-62,36;85;154;4;370,42;3,7;2670;110,41;-53;-55
1980.;CIREVAL ELECTRONICA SOCIEDAD LIMITADA.;B40619850;VALENCIA;ESPANA;2;23/10/2019;31/12/2024;34,56;55;80;1;606,35;6,06;2611;0,33;20;15
1981.;BIGPRESS SL;B94186517;REDONDELA;ESPANA;2;04/10/2019;31/12/2024;0,07;228;159;2;796,04;7,96;6201;0;50;0
1982.;SALA GUERRERO ONLINE SL.;B42884510;CARAVACA DE LA CRUZ;ESPANA;n.d.;15/02/2021;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6311;n.d.;n.d.;n.d.
1983.;INWIRE, SOCIEDAD LIMITADA.;B09643081;CIUDAD REAL;ESPANA;n.d.;12/01/2022;31/12/2024;48,28;43;59;2;1.083,96;10,84;6201;0;21;18
1984.;YUCODE S.L.;B67581967;POLINYA;ESPANA;n.d.;23/01/2020;31/12/2021;n.d.;n.d.;n.d.;3;n.d.;n.d.;6209;n.d.;n.d.;n.d.
1985.;CIRCULAR PARTNERS S.L.;B10641470;MOLLET DEL VALLES;ESPANA;129;05/05/2022;31/12/2023;0,06;1.847;153;2;80,88;0,81;6209;3,79;1;1
1986.;SIMAGANDA SL.;B10597490;CADIZ;ESPANA;n.d.;26/04/2022;31/12/2024;47,95;147;145;2;969,99;9,7;6201;0;70;56
1987.;YOURSTEP SL.;B05293238;MADRID;ESPANA;n.d.;29/03/2021;31/12/2023;-106,64;26;153;4;180,96;1,81;6201;7,93;-27;-28
1988.;BEKA DIGITAL SL.;B01630342;MADRID;ESPANA;n.d.;12/06/2020;31/12/2022;n.d.;n.d.;n.d.;31;n.d.;n.d.;6209;n.d.;n.d.;n.d.
1989.;MOTHERLIGHT SL.;B02822971;MADRID;ESPANA;n.d.;19/11/2020;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6209;n.d.;n.d.;n.d.
1990.;LENI BOLT SL.;B16972978;PALMA;ESPANA;n.d.;30/09/2021;31/12/2023;42,06;211;152;2;696,85;6,97;6202;0;89;75
1991.;CYMTECH SOLUCIONES TECNOLOGICAS SOCIEDAD LIMITADA.;B19707264;ALBOLOTE;ESPANA;n.d.;01/01/2020;31/12/2022;n.d.;n.d.;n.d.;1;n.d.;n.d.;6201;n.d.;n.d.;n.d.
1992.;FAMARYCOOL SL.;B42645598;ALACANT/ALICANTE;ESPANA;n.d.;11/04/2019;31/12/2023;32,13;22;152;6;22,07;0,22;6209;26,72;8;7
1993.;WILLKO SOLUTIONS SL.;B10726768;VIGO;ESPANA;n.d.;25/05/2022;31/12/2024;13,37;116;114;4;129,33;1,29;6202;0;16;13
1994.;INSTITUTO DE INNOVACION Y DESARROLLO AGRICOLA SOCIEDAD LIMITADA.;B02949287;VALENCIA;ESPANA;200;28/01/2021;31/12/2024;3,01;315;125;3;248,8;2,49;6201;77,41;12;3
1995.;LOCATEC APLICACIONES INFORMATICAS SOCIEDAD LIMITADA.;B42878389;GANDIA;ESPANA;n.d.;12/02/2021;31/12/2022;n.d.;n.d.;n.d.;6;n.d.;n.d.;6201;n.d.;n.d.;n.d.
1996.;TECHCLOUD SOLUTIONS S.L.;B67527275;BARCELONA;ESPANA;n.d.;30/10/2019;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
1997.;GRUPO REDMOBILE SL.;B09824475;SANTIAGO DE COMPOSTELA;ESPANA;14;25/02/2022;31/12/2024;30,09;121;145;1;209,44;2,09;6209;0;36;28
1998.;INTELLYTICS S.L.;B06866420;SABADELL;ESPANA;n.d.;07/06/2021;31/12/2024;8,74;38;85;1;428,58;4,29;6209;0;4;3
1999.;AESOR ENERGIA SL.;B56202526;MADRID;ESPANA;n.d.;14/07/2023;31/12/2024;79,21;28;41;1;298,03;2,98;6399;0;22;17
2000.;CONFITEL R.L.J. SL.;B71434443;PAMPLONA/IRUÑA;ESPANA;n.d.;23/06/2021;31/12/2024;60,15;260;468;1;569,87;5,7;6110;0;182;181
2001.;PERPETUAL CIELO AZUL SOCIEDAD LIMITADA.;B10535730;BIAR;ESPANA;n.d.;06/04/2022;31/12/2023;40,94;106;151;4;1.257,34;12,57;6202;2,48;47;38
2002.;MANEVA SOLUCIONES INFORMATICAS 2021, SOCIEDAD LIMITADA.;B42774315;CIUDAD REAL;ESPANA;n.d.;21/01/2021;31/12/2024;50,62;36;162;3;173,36;1,73;6209;3,05;19;13
2003.;KMA DISSENY & MARKETING S.L.;B42795898;BARCELONA;ESPANA;n.d.;25/01/2021;31/12/2022;n.d.;n.d.;n.d.;4;n.d.;n.d.;6201;n.d.;n.d.;n.d.
2004.;KOMPILA TECHNOLOGIES SOCIEDAD LIMITADA.;B13969795;ZARAGOZA;ESPANA;n.d.;22/06/2023;31/12/2024;45,74;27;148;2;177,2;1,77;6202;0;13;10
2005.;PLANIFICATE SL.;B05494042;VILLAVICIOSA DE ODON;ESPANA;n.d.;13/05/2021;31/12/2023;47,5;74;149;2;355,32;3,55;6209;0;36;30
2006.;CARTTECLAB SL.;B01918135;CARBAJOSA DE LA SAGRADA;ESPANA;n.d.;10/09/2020;31/12/2023;49,38;128;149;2;840,36;8,4;2611;21,09;66;62
2007.;ZEROX IT CONSULTING SOCIEDAD LIMITADA.;B90449810;DOS HERMANAS;ESPANA;34;25/07/2019;31/12/2023;1,91;85;149;1;90,43;0,9;6201;20,12;2;1
2008.;META GLOBAL CREATOR SL.;B72835010;MADRID;ESPANA;7;30/11/2022;31/12/2024;57,15;36;108;2;150,99;1,51;6209;10,05;23;17
2009.;DATASPARTAN ESPAÑA, SOCIEDAD LIMITADA.;B70596549;NARON;ESPANA;n.d.;12/07/2019;31/12/2021;n.d.;n.d.;n.d.;3;n.d.;n.d.;6202;n.d.;n.d.;n.d.
2010.;VIBRACOM SOLUCIONS INTERCONNECTADES S.L.;B06981724;SANT VICENÇ DE TORELLO;ESPANA;n.d.;02/07/2021;31/12/2024;10,59;27;57;2;112,57;1,13;2630;46,4;6;2
2011.;TOM DE BEER SOCIEDAD LIMITADA.;B55343552;ALP;ESPANA;n.d.;08/03/2019;31/12/2023;26,2;126;148;2;315,08;3,15;6202;25,94;37;24
2012.;GATCHAN TELEMATICA S.L.;B01624469;BARCELONA;ESPANA;469;05/06/2020;31/12/2024;0,92;610;51;3;210,76;2,11;6120;1,43;6;4
2013.;IDEASMUS, SOCIEDAD LIMITADA.;B02687804;LAS PALMAS DE GRAN CANARIA;ESPANA;n.d.;16/10/2020;31/12/2024;-13,75;33;127;4;99,43;0,99;6201;21,71;-4;-3
2014.;ETOSHI TECHNOLOGIES SL.;B88388046;MADRID;ESPANA;2.369;09/05/2019;31/12/2024;-41,06;3.338;30;11;558,21;5,58;6209;155,36;-1.271;-1.392
2015.;4 SEVEN SERVICES SOCIEDAD LIMITADA.;B01909936;VALENCIA;ESPANA;n.d.;09/09/2020;31/12/2024;11,69;39;90;3;114,42;1,14;6209;0,72;5;3
2016.;NEXT MUNICIPIOS SMART SOCIEDAD LIMITADA.;B04918975;ALMERIA;ESPANA;n.d.;03/12/2019;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6190;n.d.;n.d.;n.d.
2017.;KONVERXO SOLUCIONES SL.;B09785981;VALLADOLID;ESPANA;n.d.;18/02/2022;31/12/2024;-105,65;30;90;3;101,47;1,01;6201;156,73;-32;-26
2018.;THE HOST EXPERIENCE SL.;B13712070;MADRID;ESPANA;n.d.;20/04/2023;31/12/2024;88,01;9;25;2;696,54;6,97;6312;0;8;7
2019.;NEWGEN HERCTUM SL.;B42971903;ELCHE/ELX;ESPANA;n.d.;02/03/2021;31/12/2024;16,56;178;152;1;58,85;0,59;6399;67,48;48;23
2020.;OCADO SOLUTIONS SPAIN S.L.;B16980849;BARCELONA;ESPANA;n.d.;06/10/2021;31/12/2023;-2,41;13.442;147;7;13,46;0,13;6202;0;-324;-404
2021.;JUANJO GOMEZ LOGTEC SL.;B02891190;CARABAÑA;ESPANA;n.d.;04/12/2020;31/12/2024;43,88;175;146;2;1.633,22;16,33;6202;0;80;59
2022.;ROLLDBOX GAMES S.L.;B02908135;BARCELONA;ESPANA;310;30/11/2020;31/12/2023;-2,69;446;147;4;136,66;1,37;5821;22,53;65;-10
2023.;SOLUCIONES TECNOLOGICAS FREEDOO SOCIEDAD LIMITADA.;B06851299;BILBAO;ESPANA;n.d.;04/06/2021;31/12/2024;46,75;90;132;2;394,42;3,94;6201;1,34;44;35
2024.;BCNETWORK AND DEVELOPMENT S.L.;B67410290;BARCELONA;ESPANA;n.d.;28/03/2019;31/12/2023;17,44;78;147;2;289,17;2,89;6399;0;14;10
2025.;QDLINE SERVEIS TECNOLOGICS S.L.;B67401059;BARCELONA;ESPANA;n.d.;14/03/2019;31/12/2024;52,38;108;160;1;244,64;2,45;6209;6;58;43
2026.;RADIO SOLUCIONES INGENIERIA SL.;B72711021;SAN ROMAN DE LOS MONTES;ESPANA;n.d.;07/11/2022;31/12/2024;28,13;106;138;3;102,64;1,03;6190;34,4;41;23
2027.;ONE MORE BYTE SL.;B88474861;MADRID;ESPANA;n.d.;12/09/2019;31/12/2024;30,2;566;231;1;2.383,31;23,83;6201;0;172;133
2028.;VERIFICACIONES RICOMART SOCIEDAD LIMITADA.;B23803273;TORREDONJIMENO;ESPANA;n.d.;01/08/2019;31/12/2019;n.d.;n.d.;n.d.;7;n.d.;n.d.;6209;n.d.;n.d.;n.d.
2029.;COSAHECHA S.L.;B04950812;BARCELONA;ESPANA;n.d.;15/03/2021;31/12/2023;77,11;140;146;1;841,39;8,41;6202;0;108;102
2030.;TUS SOLUCIONES DIGITALES OCHOA SOCIEDAD LIMITADA.;B42924316;OVIEDO;ESPANA;n.d.;15/03/2021;31/12/2024;30,7;35;117;2;267,18;2,67;6201;0;14;8
2031.;CALTEC 2020 SOCIEDAD LIMITADA.;B26568873;CALAHORRA;ESPANA;n.d.;18/12/2019;31/12/2024;9,39;46;193;4;60,75;0,61;6201;19,05;4;3
2032.;DIGITAL TWINS SCAN2BIM SL.;B13648175;POLANCO;ESPANA;15;13/04/2023;31/12/2024;-5,65;152;57;2;49,86;0,5;6209;83,1;4;-8
2033.;ZOUNDREAM S.L.;B67451401;BARCELONA;ESPANA;303;05/06/2019;31/12/2024;6,17;782;718;9;331,24;3,31;6201;2,78;132;196
2034.;POWERBIM S.L.;B72722226;BARCELONA;ESPANA;3;08/11/2022;31/12/2023;45;63;145;2;275,57;2,76;6201;0;30;22
2035.;PARSEDOC SOCIEDAD LIMITADA.;B01606995;VALENCIA;ESPANA;94;10/06/2020;31/12/2024;63,88;457;332;4;199,64;2;6201;17,49;292;219
2036.;ON THE TOP SUCCESS SL.;B40550576;VALENCIA;ESPANA;n.d.;02/01/2019;31/12/2021;n.d.;n.d.;n.d.;2;n.d.;n.d.;6201;n.d.;n.d.;n.d.
2037.;FIVERBUN S.L.;B70611215;PONTECESO;ESPANA;n.d.;06/02/2020;31/12/2022;n.d.;n.d.;n.d.;3;n.d.;n.d.;6209;n.d.;n.d.;n.d.
2038.;RINDUS TECHNOLOGY 7 SL.;B42757138;MALAGA;ESPANA;n.d.;14/01/2021;31/12/2021;n.d.;n.d.;n.d.;2;n.d.;n.d.;6202;n.d.;n.d.;n.d.
2039.;COGNITIVE FINANCE SL.;B75239152;DONOSTIA/SAN SEBASTIAN;ESPANA;316;08/05/2020;31/12/2024;15,96;446;277;4;47,35;0,47;6201;38,99;159;56
